,Education,Key
17,NEW CAMBRIDGE PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTM5NzIyOTE2NzQ0MDYwXCJ9In0%3D
18,VIVEKANAND PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjI5NTI3ODQzNzI5MDYwXCJ9In0%3D
19,VIVEKANAND SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTU0ODEyOTY0NjI1NDA3XCJ9In0%3D
20,DAV PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjEyOTg2Mzg4NzI2NTUyXCJ9In0%3D
21,GREENWAY MODERN SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiNDgxODE4NzQyMjEzMDUwXCJ9In0%3D
22,Guru Harkrishan Public School,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTY5NTM5MTM4NzM5MDY2M1wifSJ9
23,ST. Johns Academy,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTI5NTgyODkwNDE0NTkyXCJ9In0%3D
24,Dashmesh Public School,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTMxNjU5NTgzNTMyMDM0XCJ9In0%3D
25,G D Goenka Public School,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTE2OTMzNzU1MTIxMDQ1XCJ9In0%3D
26,Happy English School,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTM4Nzg5MTE2MTk5MzQxXCJ9In0%3D
27,Green Field Public School,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTQ2MDgzNDk2MzkzMTAxMVwifSJ9
28,NEW OXFORD PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjg0NTgzODM4NjYyNzY5XCJ9In0%3D
29,BHARAT BHARTI PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiNDA1MDcxNDU5OTEwOTc1XCJ9In0%3D
30,Vidhya Bal Bhawan School,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjQ2ODM1MzgyNTA3ODI5XCJ9In0%3D
31,KESHAV VIDYA MANDIR,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTE3NzA5Mjc2NTY2NzQ2MVwifSJ9
32,SALWAN PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjAyODkxNDMzMDg0MjY4XCJ9In0%3D
